Frame,Angle_deg
1,31.939494008928683
2,31.48856802565563
3,30.928270547589378
4,29.75207994080183
5,29.454066449390158
6,32.08199507036874
7,32.6699550228275
8,29.26297403357197
9,29.372357503910113
10,30.73287613752585
11,32.978949596507455
12,31.178894391322597
13,29.75399331972745
14,27.802893672089045
15,27.845361428260077
16,26.742473785243284
17,28.484732749507142
18,27.93872660620587
19,28.28433964819185
20,30.146577210911303
21,28.913726820331227
22,29.009440904213932
23,29.096352252367808
24,30.128302246161567
25,30.273436496378718
26,31.071542072216825
27,31.599461283816822
28,29.356561705835254
29,30.023227475052554
30,30.180619323584843
31,27.21045759049183
32,28.964953108502662
33,30.554792087236603
34,29.442611091478447
35,28.986573370163406
36,28.098893118625064
37,30.05578240499382
38,28.316070705580657
39,27.50577133376882
40,29.26921010026726
41,29.391227449164962
42,30.80047955583344
43,30.61464337124855
44,30.45474274450709
45,28.339488682222438
46,28.16620948087464
47,28.421372470578707
48,28.96829773545216
49,28.123276346414293
50,29.053782879472017
51,28.637050347802813
52,29.808626403460718
53,29.6249282224338
54,30.58736414274581
55,30.558237686594694
56,30.280959846818035
57,27.113426572817335
58,27.428363284676546
59,30.234344337293813
60,29.109626199973484
61,27.932095644371728
62,27.739815767787086
63,29.454764217505495
64,29.05641525064902
65,29.158969992137756
66,30.043469322017774
67,30.678103403479962
68,28.553981770061117
69,30.457629319734338
70,31.357208303058115
71,29.947225039473178
72,27.790325496894237
73,29.423984641020414
74,28.505020805337228
75,29.382380032940954
76,31.40095561118038
77,29.210918482271538
78,30.66775200530411
79,27.66391245294189
80,25.44394235403063
81,29.683796265957564
82,29.736711591158674
83,27.892257708874098
84,29.821576429887227
85,29.6874626841695
86,29.11771536858291
87,28.172196775188386
88,28.585672450230287
89,29.163396135703078
90,29.435468735711247
91,31.460777224702856
92,30.002342451168865
93,29.56183700605564
94,29.378133000849846
95,29.32711745643131
96,28.049044603563466
97,28.457772102053323
98,27.441095502273313
99,27.458886118363388
100,27.481496329788648
101,26.377236112237608
102,26.99913699172145
103,28.928754798476273
104,28.68359215951529
105,29.317274422990803
106,26.192857100031972
107,26.79361349384441
108,29.7935793540072
109,30.15660419200727
