Frame,Angle_deg
1,31.745238533756655
2,31.952871122160385
3,30.317431098440334
4,32.33982155696054
5,31.465417732506193
6,29.74989424578552
7,30.95069415036918
8,33.11291932143713
9,31.758141294909393
10,32.20307358470331
11,33.849525002834284
12,30.000002067670334
13,32.35756026834962
14,31.836921309523387
15,30.270935748525137
16,30.79201486311554
17,30.97242709633222
18,30.727109056776854
19,32.74311590450751
20,30.2385192567417
21,30.84248978320877
22,30.79949145617575
23,32.17976022063915
24,33.00285169989155
25,32.35867832955142
26,30.1765530139409
27,32.0799683842742
28,30.967007479613823
29,31.556188402555478
30,31.407737893288527
31,30.836748654535253
32,30.794578553296937
33,33.160237490965415
34,31.939296188553758
35,30.119004783066185
36,30.95389684424907
37,30.86612224631289
38,31.420447427248998
39,31.42218628097063
40,30.657260679017345
41,31.32644667504734
42,31.16149414566501
43,33.09780954908947
44,32.56449564139834
45,32.16938706230681
46,31.338931904040336
47,32.93761368006674
48,31.477024370509376
49,32.06529126964966
50,33.88351540416686
51,32.66131290249634
52,31.93934054124164
53,32.07478884132056
54,32.22656856772927
55,31.38495744921398
56,30.271708817049014
57,33.12835057122435
58,32.968632411541925
59,32.07478426391987
60,32.97391006052184
61,33.25223106277965
62,32.75864481884088
63,32.31690664728668
64,32.105665277216296
65,32.437707793248485
66,32.34197293420919
67,32.24411437919686
68,33.62314864975634
69,32.08507535686821
70,33.20228805382955
71,31.686808300802888
72,31.413675190426083
73,32.928332536354574
74,32.99004175270044
75,31.994826210270382
76,33.49384671450463
77,33.335611849894306
78,32.71309353832681
79,31.01152767688968
80,32.35721378318275
81,33.02959875030531
82,31.831753462912886
83,29.071790149303478
84,32.05280806593413
85,30.846513987224572
86,32.22417514682678
87,32.89479893590997
88,31.196810799172614
89,34.61535528518632
90,33.98465005904098
91,32.30353979539486
92,33.78791325063534
93,32.105893927950994
94,31.726098818185097
95,31.66160550947876
96,33.90246260041902
97,32.20102582812579
98,33.56583945308709
99,31.9781494439647
100,32.17002164994049
101,32.55811357758431
102,32.48143886942872
103,31.52137706973013
104,32.90554028409655
105,31.709581296442614
106,30.917338890784553
107,31.472733635542355
108,30.66335215855915
109,32.077756400062114
110,32.02156225868182
111,32.517439602971514
112,32.70757925144852
113,32.23425725489995
114,32.34647623551053
115,34.79563585509356
116,32.7025316384116
117,34.51142715788089
118,32.96015758413359
119,31.59886747154803
120,33.486288879189644
121,32.64281080087193
122,31.54752234940731
123,31.621248737023723
124,32.247258436825675
125,31.73248205630601
126,31.44105532959874
127,32.06903424354653
128,33.33320378883645
129,33.49460298416685
130,31.669300079370863
131,33.18625452761918
132,33.04548827051288
133,32.27896307287794
134,33.17859467698504
135,32.50155434144657
136,32.503755015211446
137,31.762020015089085
138,32.17071200612185
139,30.96668823473996
140,33.32915713272747
141,31.856216002436046
142,33.71392225743327
143,31.93704228718232
144,32.76178955878824
145,32.04390278531561
146,32.74435317498698
147,32.75662297602665
148,31.781117054044852
149,33.566174822782564
150,32.07760955742835
151,32.56338750717292
152,31.54383376670359
153,33.334451784725225
154,32.65375121847137
155,32.5495270199958
156,32.071903603389806
157,32.42426836701413
158,30.855511011253068
159,32.39898213836357
160,32.277226395318735
161,32.65360372957449
162,28.91041163939296
163,32.86290790899313
164,34.43801108771713
165,32.62074158163371
166,32.81975955256506
167,31.37221641324999
168,32.418382979491525
169,34.30492098405314
170,33.16692920025913
171,34.45000404363417
172,33.311550018527946
173,35.21434545588381
174,32.269717411373634
175,31.586456358648704
176,32.5022108915006
177,31.49657898932815
178,31.491588777196935
179,32.30030472302678
180,31.39667053357399
181,31.403238366422652
182,32.562388419965075
183,31.92023927601733
184,31.89480189698917
185,32.72467738676567
186,29.710616804880278
187,31.128715516324675
188,32.616576462969036
189,30.986469029566774
190,31.79386449920387
191,32.390133075780916
192,31.459744222364005
193,33.500572447820055
194,32.17215032064156
195,31.72401046041198
196,32.84066732314497
197,32.553849450127764
198,31.595833933460458
199,30.909479298514864
200,32.65498315982194
201,31.394826626827232
202,33.297897973635955
203,29.860009891125962
204,32.66702404799984
205,31.49088231375504
206,32.285842232875865
207,31.33483380861576
208,31.033940351660124
209,31.009272362453913
210,30.183893957188495
211,30.081801183336857
212,32.69561955255977
213,31.540647597394177
214,33.043952633503885
215,32.64157162402906
216,32.62129403286674
217,32.23626656069881
218,30.871213748135244
219,31.030679789546998
220,30.365575977109543
221,30.840836562854072
222,30.455945700406712
223,30.69418953497514
224,30.354591845567775
225,31.45543057721696
226,31.617593179228095
227,32.006024672295766
228,31.310131057499067
229,32.591373085842136
230,30.735137260673373
231,31.981468041836944
232,31.01125565918788
233,31.35767942312054
234,31.129602692763456
235,31.593225261248204
236,32.020159130947356
237,29.415095477420884
238,32.18077553608258
239,32.2714015997611
240,32.83596938446553
241,32.10367244254941
242,31.476534971604295
243,31.243503533349585
244,30.83169461766065
245,32.198841076736194
246,31.665030574443918
247,32.37983918992392
248,32.429938258496854
249,35.475682548599075
250,35.01912341980298
251,33.40287787279333
252,35.17259922154885
253,32.2252006956358
254,32.31299121386156
255,31.78755555898465
256,33.0262827804479
257,33.02721199460314
258,32.19981326050857
259,32.47221589106481
260,33.08612169433676
261,31.010576528932773
262,31.074887659307127
263,30.670798411855554
264,31.574400046401006
265,31.95086395617618
266,32.26359594526519
267,30.629623390779862
268,31.999932235621642
269,32.156039313369334
270,32.567589992299
271,30.90216994660607
272,31.464067484391915
273,33.674470699537046
274,32.210057963638135
275,30.71573242335654
276,32.931335034639744
277,31.92904354212872
278,32.05163795549723
279,31.61432901865313
280,31.169026752326626
281,32.00193360724497
282,33.00315369040566
283,31.217026500823767
284,30.940906794296463
285,30.714914021463198
286,30.248215178893915
287,32.60437890913985
288,31.39926947898876
289,29.814450502583316
290,31.872234565380094
291,30.992451740704148
292,32.207751169832044
293,31.97413949704266
294,30.399483015248713
295,30.666140125352204
296,30.905618227485782
297,31.113355089524333
298,31.749406215463956
299,32.01316464724213
300,33.00148336587021
301,30.836517174497555
302,32.98378076157016
303,31.842709003427395
304,31.648257940265854
305,31.47885222090723
306,31.400434484003362
307,32.12180612526181
308,30.579277558768762
309,31.730551824203502
310,31.069704746826275
311,31.711492684168324
312,31.561442437011056
313,32.74133689703739
314,34.17332321192763
315,31.889199833343152
316,34.02260690815523
317,33.09287084549553
318,30.719200586657905
319,32.016072342459395
320,32.677634271291446
321,32.4213464266916
322,31.960995806291468
323,30.960641584259644
324,31.892310153459608
325,32.96784088146097
326,30.724760813454584
327,31.544316676154498
328,31.37530007143725
329,34.69498617797475
330,31.902955850850912
331,33.36711831885367
332,31.30040194315943
333,32.093435228621395
334,30.84432529052224
335,29.29578159199315
336,31.28804224246806
337,30.93281992871366
338,31.74134992721219
339,31.399683301005304
340,31.697039857485986
341,32.49270084241714
342,32.12930346699402
343,32.10327703148841
344,30.743675766474595
345,32.23402634287445
346,31.356168126508837
347,29.700878492101904
348,30.961765911645248
349,31.74514713170422
350,31.0040821323361
351,29.7548050400538
352,30.43167039453518
353,32.93754087069126
354,30.81290266316621
355,31.74115515656177
356,32.32856322069535
357,32.86390818143904
358,30.0885892852272
359,32.64805695482155
360,32.4882482703636
361,32.92064781780568
362,30.545838569144447
363,31.815575872556312
364,32.24578223626611
365,29.431895818756097
366,30.446322193758792
367,31.018313384818395
368,30.79687367451244
369,31.01184421271453
370,31.091346349469767
371,31.873072869159547
372,30.995578903662697
373,31.821155793979425
374,30.720064368029167
375,32.054329763403885
376,32.2950869344454
377,31.56126173559464
378,32.21844503614603
379,32.620426385845455
380,32.35100826573047
381,30.39668056177413
382,31.461285550802646
383,29.721986518411374
384,32.87674396696824
385,31.33140516149739
386,31.11133086080695
387,31.334541513339506
388,30.147823699090644
389,30.54398748391112
390,31.824319425780388
391,30.7650423974065
392,31.466426426384572
393,31.401085693480372
394,32.3391934349648
395,32.36890089209508
396,29.94880046170762
397,32.70916763427415
398,31.912069349358283
399,31.565545915096326
400,31.66996659457849
401,30.840831647884848
402,30.513375454668367
403,32.318101132370856
404,31.935535210788167
405,29.415909163868516
406,31.943633828298445
407,33.368220945408396
408,32.678837735420075
409,31.914002333989327
410,31.123943121920377
411,32.48607659868374
412,32.1708444266532
413,32.235077266129096
414,29.89814030342892
415,29.142855213523813
416,29.226369628233364
417,31.596524777628378
418,31.900291563214257
419,31.711107822523598
420,32.09648843814069
421,30.948556955500056
422,31.810798051438066
423,31.540017695374708
424,31.4842889035304
425,32.27116901631189
426,30.471962622398355
427,32.758873456823
428,32.72712302555423
429,31.659332747118402
430,32.235139606298546
431,31.412514985658696
432,31.319729217887023
433,31.75041322168264
434,29.701142452803946
435,33.275516543834584
436,32.83671288252097
437,31.6748007605725
438,32.059101955196596
439,32.421614935015775
440,31.799883888730204
441,32.12219028885533
442,32.367109948237896
443,31.580630181299153
444,31.256978661755813
445,33.26173904057238
446,32.48444594048366
447,32.33588510149007
448,34.799271883571386
449,32.76856953051197
450,31.19159055539722
451,31.573786012987316
452,31.506470514944066
453,31.387583376641437
454,31.50539855015036
455,32.260025798761966
456,33.05145505057455
457,32.68839964955742
458,30.797492979520385
459,30.80347019031904
460,30.77183101154313
461,33.95670558513927
462,31.376997270014712
463,31.666698151971627
464,33.046933903198486
465,32.95268998409225
466,32.47872479458182
467,31.321009156244244
468,30.893973534329664
469,31.60808194368062
470,30.98850691439345
471,32.4573529794101
472,32.70806360881943
473,34.584652344378604
474,32.64080167879382
475,31.945170060158233
476,33.622577975874684
477,32.303982477316424
478,32.88056954164899
479,32.35763723387708
480,30.483227341670577
481,33.94083628561328
482,32.37074639801067
483,32.57763541003406
484,31.84751066965592
485,32.48595250981288
486,34.666830408376676
487,31.396985323432443
488,32.3266707467948
489,31.995622157718323
490,33.092216756542086
491,31.292510966303478
492,32.337890223954524
493,30.823007193556673
494,31.86338055071546
495,31.416775588894083
496,31.345502137315737
497,31.94151582451686
498,31.767787554251726
499,32.83729564642989
500,30.966637267747164
501,31.97177752104135
502,32.96639554248161
503,30.936269298033626
504,31.405333261986843
505,31.46321923666415
506,33.22862575255283
507,32.0276601287808
508,31.84185807801249
509,31.38954091452359
510,34.284080408142444
511,32.199277551010354
512,32.2731512549449
513,31.260235843172918
514,32.15923156664291
515,32.49179781770028
516,33.1866973104688
517,31.552225211059508
518,31.14894183781921
519,31.824791954116055
520,32.385834029350725
521,31.339565777895142
522,31.702925737076455
523,31.3657404770564
524,31.926947955718713
525,32.609243737900115
526,32.48645550863697
527,32.94857694502084
528,33.60393870826831
529,34.6276829728736
530,32.76796289787058
531,33.401618362062955
532,33.28102655126347
533,33.90885633208907
534,33.417961403738
535,31.94483501044447
536,32.97818148379559
537,32.132025352386094
538,32.021990871919165
539,30.542714390814634
540,31.626840397483182
541,31.690601311515554
542,31.583126507537983
543,31.51381997231639
544,32.14948307223409
545,31.08510905623908
546,32.6010552701671
547,31.616359257663813
548,30.01509923434844
549,30.40318581300661
550,30.675408131395354
551,31.507176154698442
552,32.227215820193905
553,29.57382763551576
554,32.39116440562233
555,32.53069362472844
556,30.71374919615831
557,31.550150628651263
558,31.72155951851154
559,32.37433909314713
560,29.9100811741669
561,31.45897210731542
562,30.842250315890116
563,30.387213519686505
564,31.447745906819808
565,30.235206111434643
566,30.447315905081403
567,31.495786571582656
568,33.82498147894158
569,33.130363380630854
570,31.800754840719865
571,32.081506635618524
572,30.18303274317015
573,30.34077406727865
574,31.179108123036386
575,32.17598536158839
576,31.663453048631062
577,32.04365152889082
578,31.780727914070074
