Frame,Z1,Z2,Delta_Z,Abs_Delta_Z
1,63.07,62.58,-0.490000000000002,0.490000000000002
2,61.61,62.21,0.6000000000000014,0.6000000000000014
3,61.94,62.65,0.7100000000000009,0.7100000000000009
4,62.31,62.8,0.4899999999999949,0.4899999999999949
5,62.55,62.95,0.4000000000000057,0.4000000000000057
6,63.15,63.76,0.6099999999999994,0.6099999999999994
7,61.5,62.65,1.1499999999999986,1.1499999999999986
8,62.49,62.62,0.12999999999999545,0.12999999999999545
9,61.73,62.85,1.1200000000000045,1.1200000000000045
10,61.62,62.88,1.2600000000000051,1.2600000000000051
11,61.42,62.33,0.9099999999999966,0.9099999999999966
12,62.7,62.66,-0.04000000000000625,0.04000000000000625
13,62.21,62.58,0.36999999999999744,0.36999999999999744
14,63.05,63.1,0.05000000000000426,0.05000000000000426
15,62.37,62.41,0.03999999999999915,0.03999999999999915
16,61.66,62.74,1.0800000000000054,1.0800000000000054
17,61.85,62.92,1.0700000000000003,1.0700000000000003
18,62.56,63.11,0.5499999999999972,0.5499999999999972
19,62.39,62.16,-0.23000000000000398,0.23000000000000398
20,61.78,62.47,0.6899999999999977,0.6899999999999977
21,61.96,62.59,0.6300000000000026,0.6300000000000026
22,62.87,63.0,0.13000000000000256,0.13000000000000256
23,62.77,63.74,0.9699999999999989,0.9699999999999989
24,62.06,63.25,1.1899999999999977,1.1899999999999977
25,61.95,62.81,0.8599999999999994,0.8599999999999994
26,62.16,62.53,0.37000000000000455,0.37000000000000455
27,62.08,62.71,0.6300000000000026,0.6300000000000026
28,62.2,62.93,0.7299999999999969,0.7299999999999969
29,62.09,62.58,0.4899999999999949,0.4899999999999949
30,61.48,62.36,0.8800000000000026,0.8800000000000026
31,62.18,62.63,0.45000000000000284,0.45000000000000284
32,62.09,62.63,0.5399999999999991,0.5399999999999991
33,61.79,62.97,1.1799999999999997,1.1799999999999997
34,62.15,62.91,0.759999999999998,0.759999999999998
35,62.01,62.79,0.7800000000000011,0.7800000000000011
36,62.35,62.6,0.25,0.25
37,61.88,62.97,1.0899999999999963,1.0899999999999963
38,62.12,62.7,0.5800000000000054,0.5800000000000054
39,62.33,62.39,0.060000000000002274,0.060000000000002274
40,61.69,62.71,1.0200000000000031,1.0200000000000031
41,61.53,62.33,0.7999999999999972,0.7999999999999972
42,61.6,62.59,0.990000000000002,0.990000000000002
43,61.9,61.63,-0.269999999999996,0.269999999999996
44,62.18,61.68,-0.5,0.5
45,61.43,62.06,0.6300000000000026,0.6300000000000026
46,61.81,62.39,0.5799999999999983,0.5799999999999983
47,62.27,62.44,0.1699999999999946,0.1699999999999946
48,61.79,62.69,0.8999999999999986,0.8999999999999986
49,61.53,62.7,1.1700000000000017,1.1700000000000017
50,62.37,62.56,0.19000000000000483,0.19000000000000483
51,62.48,62.94,0.46000000000000085,0.46000000000000085
52,61.28,63.05,1.769999999999996,1.769999999999996
53,61.95,62.69,0.7399999999999949,0.7399999999999949
54,61.75,62.42,0.6700000000000017,0.6700000000000017
55,62.23,62.45,0.22000000000000597,0.22000000000000597
56,61.76,62.06,0.30000000000000426,0.30000000000000426
57,61.28,62.91,1.6299999999999955,1.6299999999999955
58,62.3,62.54,0.240000000000002,0.240000000000002
59,61.99,62.77,0.7800000000000011,0.7800000000000011
60,62.64,62.46,-0.17999999999999972,0.17999999999999972
61,62.45,62.58,0.12999999999999545,0.12999999999999545
62,63.2,62.37,-0.8300000000000054,0.8300000000000054
63,62.24,62.04,-0.20000000000000284,0.20000000000000284
64,62.14,62.19,0.04999999999999716,0.04999999999999716
65,62.2,62.06,-0.14000000000000057,0.14000000000000057
66,62.16,62.6,0.44000000000000483,0.44000000000000483
67,62.9,62.8,-0.10000000000000142,0.10000000000000142
68,62.01,61.93,-0.0799999999999983,0.0799999999999983
69,62.28,62.33,0.04999999999999716,0.04999999999999716
70,62.85,62.69,-0.1600000000000037,0.1600000000000037
71,61.98,62.16,0.17999999999999972,0.17999999999999972
72,63.53,62.64,-0.8900000000000006,0.8900000000000006
73,62.83,62.38,-0.44999999999999574,0.44999999999999574
74,62.23,61.63,-0.5999999999999943,0.5999999999999943
75,62.55,62.36,-0.18999999999999773,0.18999999999999773
76,62.19,62.7,0.5100000000000051,0.5100000000000051
77,62.17,62.58,0.4099999999999966,0.4099999999999966
78,61.39,62.49,1.1000000000000014,1.1000000000000014
79,61.5,62.29,0.7899999999999991,0.7899999999999991
80,61.8,62.48,0.6799999999999997,0.6799999999999997
81,61.74,61.92,0.17999999999999972,0.17999999999999972
82,61.67,62.43,0.759999999999998,0.759999999999998
83,62.13,61.36,-0.7700000000000031,0.7700000000000031
84,62.18,62.92,0.740000000000002,0.740000000000002
85,61.55,62.28,0.730000000000004,0.730000000000004
86,61.9,62.1,0.20000000000000284,0.20000000000000284
87,62.55,62.05,-0.5,0.5
88,62.76,62.77,0.010000000000005116,0.010000000000005116
89,62.32,62.39,0.07000000000000028,0.07000000000000028
90,62.96,62.97,0.00999999999999801,0.00999999999999801
91,63.32,62.83,-0.490000000000002,0.490000000000002
