Frame,Z1,Z2,Delta_Z,Abs_Delta_Z
1,70.84,70.35,-0.4900000000000091,0.4900000000000091
2,69.3,70.37,1.0700000000000074,1.0700000000000074
3,68.68,70.11,1.4299999999999926,1.4299999999999926
4,68.62,70.24,1.6199999999999903,1.6199999999999903
5,68.75,70.57,1.8199999999999932,1.8199999999999932
6,69.37,70.67,1.2999999999999972,1.2999999999999972
7,68.75,70.94,2.1899999999999977,2.1899999999999977
8,69.02,70.74,1.7199999999999989,1.7199999999999989
9,69.26,70.51,1.25,1.25
10,69.24,70.69,1.4500000000000028,1.4500000000000028
11,69.31,70.64,1.3299999999999983,1.3299999999999983
12,68.88,70.59,1.710000000000008,1.710000000000008
13,69.71,70.75,1.0400000000000063,1.0400000000000063
14,68.87,70.53,1.6599999999999966,1.6599999999999966
15,68.89,70.85,1.9599999999999937,1.9599999999999937
16,68.79,70.77,1.9799999999999898,1.9799999999999898
17,69.0,70.75,1.75,1.75
18,69.06,70.36,1.2999999999999972,1.2999999999999972
19,69.24,71.0,1.7600000000000051,1.7600000000000051
20,68.51,70.94,2.4299999999999926,2.4299999999999926
21,68.78,71.14,2.3599999999999994,2.3599999999999994
22,68.33,70.91,2.5799999999999983,2.5799999999999983
23,68.33,71.19,2.8599999999999994,2.8599999999999994
24,68.34,70.96,2.6199999999999903,2.6199999999999903
25,68.46,71.12,2.660000000000011,2.660000000000011
26,68.67,71.49,2.819999999999993,2.819999999999993
27,68.44,71.2,2.760000000000005,2.760000000000005
28,68.48,71.19,2.7099999999999937,2.7099999999999937
29,68.76,70.88,2.1199999999999903,2.1199999999999903
30,68.86,71.83,2.969999999999999,2.969999999999999
31,68.19,70.89,2.700000000000003,2.700000000000003
32,68.12,71.53,3.4099999999999966,3.4099999999999966
33,68.62,70.63,2.009999999999991,2.009999999999991
34,69.01,70.86,1.8499999999999943,1.8499999999999943
35,68.58,70.65,2.0700000000000074,2.0700000000000074
36,68.73,71.16,2.4299999999999926,2.4299999999999926
37,68.86,71.61,2.75,2.75
38,68.94,71.26,2.3200000000000074,2.3200000000000074
39,68.83,71.47,2.6400000000000006,2.6400000000000006
40,69.2,71.32,2.1199999999999903,2.1199999999999903
41,68.6,70.93,2.3300000000000125,2.3300000000000125
42,69.05,71.56,2.510000000000005,2.510000000000005
43,68.9,71.21,2.309999999999988,2.309999999999988
44,69.12,70.98,1.8599999999999994,1.8599999999999994
45,69.0,71.57,2.569999999999993,2.569999999999993
46,69.11,71.57,2.4599999999999937,2.4599999999999937
47,68.66,71.04,2.3800000000000097,2.3800000000000097
48,69.06,71.53,2.469999999999999,2.469999999999999
49,68.47,71.02,2.549999999999997,2.549999999999997
50,69.08,71.24,2.1599999999999966,2.1599999999999966
51,68.85,71.17,2.3200000000000074,2.3200000000000074
52,68.52,70.77,2.25,2.25
53,68.12,70.5,2.3799999999999955,2.3799999999999955
54,68.56,71.3,2.739999999999995,2.739999999999995
55,68.77,70.85,2.0799999999999983,2.0799999999999983
56,68.53,70.82,2.289999999999992,2.289999999999992
57,68.14,70.84,2.700000000000003,2.700000000000003
58,68.46,70.84,2.3800000000000097,2.3800000000000097
59,68.55,70.57,2.019999999999996,2.019999999999996
60,68.23,70.67,2.4399999999999977,2.4399999999999977
61,68.47,70.58,2.1099999999999994,2.1099999999999994
62,68.31,70.98,2.6700000000000017,2.6700000000000017
63,68.94,71.32,2.3799999999999955,2.3799999999999955
64,68.73,71.18,2.450000000000003,2.450000000000003
65,68.59,70.99,2.3999999999999915,2.3999999999999915
66,68.29,71.33,3.039999999999992,3.039999999999992
67,68.82,71.05,2.230000000000004,2.230000000000004
68,69.02,70.81,1.7900000000000063,1.7900000000000063
69,68.39,71.15,2.760000000000005,2.760000000000005
70,68.4,70.82,2.4199999999999875,2.4199999999999875
71,68.81,70.75,1.9399999999999977,1.9399999999999977
72,68.84,70.74,1.8999999999999915,1.8999999999999915
73,69.43,70.89,1.4599999999999937,1.4599999999999937
74,68.89,71.36,2.469999999999999,2.469999999999999
75,67.89,71.46,3.569999999999993,3.569999999999993
76,68.69,71.3,2.6099999999999994,2.6099999999999994
77,68.29,71.21,2.9199999999999875,2.9199999999999875
78,68.4,71.26,2.8599999999999994,2.8599999999999994
79,68.89,71.37,2.480000000000004,2.480000000000004
80,68.73,71.63,2.8999999999999915,2.8999999999999915
81,68.82,71.25,2.430000000000007,2.430000000000007
82,68.7,71.54,2.8400000000000034,2.8400000000000034
83,68.77,71.44,2.6700000000000017,2.6700000000000017
84,68.91,71.39,2.480000000000004,2.480000000000004
85,68.16,71.47,3.3100000000000023,3.3100000000000023
86,68.97,71.42,2.450000000000003,2.450000000000003
87,68.78,71.56,2.780000000000001,2.780000000000001
88,68.2,71.34,3.1400000000000006,3.1400000000000006
89,68.23,70.84,2.6099999999999994,2.6099999999999994
90,68.42,71.21,2.789999999999992,2.789999999999992
91,68.02,71.06,3.0400000000000063,3.0400000000000063
92,68.71,71.46,2.75,2.75
93,69.32,71.46,2.1400000000000006,2.1400000000000006
94,68.84,71.44,2.5999999999999943,2.5999999999999943
95,69.19,71.34,2.1500000000000057,2.1500000000000057
96,68.95,71.35,2.3999999999999915,2.3999999999999915
97,69.02,71.4,2.3800000000000097,2.3800000000000097
98,68.59,71.39,2.799999999999997,2.799999999999997
99,68.81,71.23,2.4200000000000017,2.4200000000000017
100,68.44,71.84,3.4000000000000057,3.4000000000000057
101,68.54,71.54,3.0,3.0
102,68.25,70.89,2.6400000000000006,2.6400000000000006
103,68.47,70.73,2.260000000000005,2.260000000000005
104,68.5,71.32,2.819999999999993,2.819999999999993
105,68.71,71.77,3.0600000000000023,3.0600000000000023
106,68.95,71.39,2.4399999999999977,2.4399999999999977
107,68.88,71.18,2.3000000000000114,2.3000000000000114
108,69.05,71.57,2.519999999999996,2.519999999999996
109,69.16,70.91,1.75,1.75
110,68.72,70.66,1.9399999999999977,1.9399999999999977
111,69.07,71.37,2.3000000000000114,2.3000000000000114
112,68.63,71.62,2.990000000000009,2.990000000000009
113,68.12,71.23,3.1099999999999994,3.1099999999999994
114,68.98,71.27,2.289999999999992,2.289999999999992
115,68.75,71.74,2.989999999999995,2.989999999999995
116,68.95,71.09,2.1400000000000006,2.1400000000000006
