Frame,Z1,Z2,Delta_Z,Abs_Delta_Z
1,66.85,56.99,-9.859999999999992,9.859999999999992
2,67.35,56.95,-10.399999999999991,10.399999999999991
3,66.83,57.15,-9.68,9.68
4,67.19,57.19,-10.0,10.0
5,66.81,57.08,-9.730000000000004,9.730000000000004
6,67.45,57.1,-10.350000000000001,10.350000000000001
7,67.03,56.76,-10.270000000000003,10.270000000000003
8,66.52,56.73,-9.79,9.79
9,66.57,56.48,-10.089999999999996,10.089999999999996
10,66.6,56.03,-10.569999999999993,10.569999999999993
11,66.5,56.82,-9.68,9.68
12,65.83,57.05,-8.780000000000001,8.780000000000001
13,66.24,56.42,-9.819999999999993,9.819999999999993
14,66.01,56.81,-9.200000000000003,9.200000000000003
15,66.09,55.97,-10.120000000000005,10.120000000000005
16,66.41,56.8,-9.61,9.61
17,66.33,57.03,-9.299999999999997,9.299999999999997
18,65.68,57.1,-8.580000000000005,8.580000000000005
19,66.47,56.64,-9.829999999999998,9.829999999999998
20,66.96,56.34,-10.61999999999999,10.61999999999999
21,66.31,56.25,-10.060000000000002,10.060000000000002
22,65.97,56.53,-9.439999999999998,9.439999999999998
23,66.8,56.72,-10.079999999999998,10.079999999999998
24,67.33,57.09,-10.239999999999995,10.239999999999995
25,67.32,57.16,-10.159999999999997,10.159999999999997
26,66.7,56.96,-9.740000000000002,9.740000000000002
27,67.28,56.5,-10.780000000000001,10.780000000000001
28,66.96,56.9,-10.059999999999995,10.059999999999995
29,67.28,56.88,-10.399999999999999,10.399999999999999
30,66.8,57.67,-9.129999999999995,9.129999999999995
31,66.76,57.04,-9.720000000000006,9.720000000000006
32,66.26,56.86,-9.400000000000006,9.400000000000006
33,67.0,57.71,-9.29,9.29
34,67.52,57.53,-9.989999999999995,9.989999999999995
35,67.27,57.56,-9.709999999999994,9.709999999999994
36,67.06,57.23,-9.830000000000005,9.830000000000005
37,66.45,57.11,-9.340000000000003,9.340000000000003
38,66.03,57.6,-8.43,8.43
39,66.57,57.7,-8.86999999999999,8.86999999999999
40,66.36,57.32,-9.04,9.04
41,66.77,57.63,-9.139999999999993,9.139999999999993
42,67.41,57.66,-9.75,9.75
43,66.15,57.48,-8.670000000000009,8.670000000000009
44,66.75,57.46,-9.29,9.29
45,66.2,57.71,-8.490000000000002,8.490000000000002
46,66.82,57.26,-9.559999999999995,9.559999999999995
47,66.6,57.04,-9.559999999999995,9.559999999999995
48,66.39,57.91,-8.480000000000004,8.480000000000004
49,67.01,57.54,-9.470000000000006,9.470000000000006
50,66.83,57.84,-8.989999999999995,8.989999999999995
51,67.01,57.48,-9.530000000000008,9.530000000000008
52,67.54,57.95,-9.590000000000003,9.590000000000003
53,66.75,57.24,-9.509999999999998,9.509999999999998
54,66.64,56.82,-9.82,9.82
55,66.97,57.71,-9.259999999999998,9.259999999999998
56,67.11,57.61,-9.5,9.5
57,66.26,56.97,-9.290000000000006,9.290000000000006
58,66.27,56.59,-9.679999999999993,9.679999999999993
59,67.21,57.31,-9.899999999999991,9.899999999999991
60,66.7,56.89,-9.810000000000002,9.810000000000002
