Frame,Angle_deg
1,29.8719224473975
2,28.879224844001413
3,28.633791555204905
4,29.43960031944661
5,27.9774699740462
6,28.01750229137279
7,29.12807820846173
8,30.69400718222063
9,29.877028139742947
10,29.779866672057064
11,32.0514223067708
12,32.53950160772653
13,31.924232399597336
14,31.938707896462617
15,33.03584062857863
16,32.24898317184026
17,30.966717475281975
18,31.17622029131723
19,32.45109686616437
20,31.168173089164725
21,30.4330537120165
22,32.79967732663185
23,31.49827323764161
24,33.610313341185645
25,33.42729086012902
26,32.771900112878384
27,32.37214717984255
28,32.243198129977095
29,33.27738367600192
30,33.09179791767795
31,32.608369331465425
32,32.96494056491826
33,30.63081140448548
34,31.14002419096298
35,31.02700607828757
36,31.111676207219695
37,30.964946191251826
38,32.38371517243589
39,32.26332207072175
40,32.708874328737835
41,31.951349666961107
42,31.128055337419696
43,32.55152461376933
44,31.323272807287903
45,33.170221904926905
46,32.61875081783989
47,32.33984563986754
48,33.16228287618016
49,33.742942278060745
50,32.1724369012415
51,33.26738634477817
52,31.682054692296028
53,31.42619323416056
54,29.736288822703468
55,32.07024581433337
56,32.60383590390885
57,32.833948218304
58,32.80388163235064
59,32.277591759580496
60,31.65639053520887
61,31.77841116015666
62,32.038026055248004
63,34.11792203682788
64,32.98342491740209
65,31.52934316690544
66,33.22017007573812
67,32.08036950615929
68,32.494128138698954
69,33.072187310673044
70,32.982781852202834
71,32.19528026979517
72,32.21649589421968
73,31.916548632963007
74,33.89776089574118
75,32.28260956214256
76,31.63020767413309
77,31.732016430814184
78,31.67869585975521
79,31.31726845537263
80,32.26554088734092
81,33.237380476399785
82,32.727800771128926
83,32.8665022999001
84,32.21188861192375
85,33.55551041921681
86,31.644771511281895
87,31.781358253659466
88,30.5620594316678
89,34.19015143289445
90,32.155645047743754
91,32.32142422944406
92,31.799705356878036
93,32.869557511241894
94,37.27762275660977
95,36.40524973635579
96,34.64344167760262
97,36.55507599079656
98,35.18839046343264
99,35.35430168006395
100,35.00521924704995
101,35.90059698392163
102,36.96105892357135
103,35.80109322999104
104,33.19439052958666
105,34.51572355532912
