Frame,Z1,Z2,Delta_Z,Abs_Delta_Z
1,70.84,70.35,-0.4900000000000091,0.4900000000000091
2,70.08,70.4,0.3200000000000074,0.3200000000000074
3,69.6,70.39,0.7900000000000063,0.7900000000000063
4,71.41,70.06,-1.3499999999999943,1.3499999999999943
5,70.34,70.38,0.03999999999999204,0.03999999999999204
6,70.68,70.55,-0.13000000000000966,0.13000000000000966
7,70.1,70.54,0.44000000000001194,0.44000000000001194
8,70.4,70.74,0.3399999999999892,0.3399999999999892
9,70.03,70.38,0.3499999999999943,0.3499999999999943
10,69.35,70.93,1.5800000000000125,1.5800000000000125
11,70.1,71.18,1.0800000000000125,1.0800000000000125
12,69.45,71.24,1.789999999999992,1.789999999999992
13,69.64,71.12,1.480000000000004,1.480000000000004
14,67.27,71.03,3.760000000000005,3.760000000000005
15,68.22,71.17,2.950000000000003,2.950000000000003
16,68.99,70.72,1.730000000000004,1.730000000000004
17,68.38,70.69,2.3100000000000023,2.3100000000000023
18,68.5,70.95,2.450000000000003,2.450000000000003
19,67.12,70.59,3.469999999999999,3.469999999999999
20,67.64,70.16,2.519999999999996,2.519999999999996
21,67.41,70.78,3.3700000000000045,3.3700000000000045
22,67.34,70.5,3.1599999999999966,3.1599999999999966
23,67.54,70.41,2.8699999999999903,2.8699999999999903
24,67.63,70.46,2.8299999999999983,2.8299999999999983
25,67.63,70.04,2.410000000000011,2.410000000000011
26,66.8,70.11,3.3100000000000023,3.3100000000000023
27,67.68,70.21,2.529999999999987,2.529999999999987
28,67.86,69.97,2.1099999999999994,2.1099999999999994
29,67.94,69.76,1.8200000000000074,1.8200000000000074
30,68.04,70.3,2.259999999999991,2.259999999999991
31,67.39,70.47,3.0799999999999983,3.0799999999999983
32,67.95,70.52,2.569999999999993,2.569999999999993
33,67.96,70.47,2.510000000000005,2.510000000000005
34,67.8,70.34,2.5400000000000063,2.5400000000000063
35,67.79,70.39,2.5999999999999943,2.5999999999999943
36,67.02,70.58,3.5600000000000023,3.5600000000000023
37,67.26,70.92,3.6599999999999966,3.6599999999999966
38,67.56,70.88,3.319999999999993,3.319999999999993
39,67.17,70.39,3.219999999999999,3.219999999999999
40,67.64,71.11,3.469999999999999,3.469999999999999
41,67.7,71.08,3.3799999999999955,3.3799999999999955
42,68.18,70.73,2.549999999999997,2.549999999999997
43,67.41,70.73,3.3200000000000074,3.3200000000000074
44,67.82,70.88,3.0600000000000023,3.0600000000000023
45,67.02,70.3,3.280000000000001,3.280000000000001
46,66.75,71.05,4.299999999999997,4.299999999999997
47,67.09,70.47,3.3799999999999955,3.3799999999999955
48,66.85,70.93,4.0800000000000125,4.0800000000000125
49,67.41,71.22,3.8100000000000023,3.8100000000000023
50,67.4,71.6,4.199999999999989,4.199999999999989
51,66.91,70.74,3.8299999999999983,3.8299999999999983
52,67.3,71.11,3.8100000000000023,3.8100000000000023
53,67.76,70.71,2.9499999999999886,2.9499999999999886
54,67.29,70.73,3.4399999999999977,3.4399999999999977
55,67.34,70.64,3.299999999999997,3.299999999999997
56,67.31,70.87,3.5600000000000023,3.5600000000000023
57,66.97,70.57,3.5999999999999943,3.5999999999999943
58,66.74,70.39,3.6500000000000057,3.6500000000000057
59,67.49,70.81,3.3200000000000074,3.3200000000000074
60,68.02,70.27,2.25,2.25
61,67.54,70.45,2.9099999999999966,2.9099999999999966
62,67.9,70.59,2.6899999999999977,2.6899999999999977
63,67.57,70.91,3.3400000000000034,3.3400000000000034
64,67.2,70.55,3.3499999999999943,3.3499999999999943
65,67.49,70.69,3.200000000000003,3.200000000000003
66,67.42,70.51,3.0900000000000034,3.0900000000000034
67,67.23,70.79,3.5600000000000023,3.5600000000000023
68,67.3,70.95,3.6500000000000057,3.6500000000000057
69,67.43,70.65,3.219999999999999,3.219999999999999
70,67.91,70.53,2.6200000000000045,2.6200000000000045
71,67.62,70.32,2.6999999999999886,2.6999999999999886
72,67.5,70.34,2.8400000000000034,2.8400000000000034
73,67.78,71.21,3.4299999999999926,3.4299999999999926
74,67.78,70.2,2.4200000000000017,2.4200000000000017
75,67.27,70.67,3.4000000000000057,3.4000000000000057
76,67.81,71.04,3.230000000000004,3.230000000000004
77,67.59,71.07,3.4799999999999898,3.4799999999999898
78,67.98,71.75,3.769999999999996,3.769999999999996
79,68.24,71.64,3.4000000000000057,3.4000000000000057
80,67.33,71.83,4.5,4.5
81,67.55,71.38,3.8299999999999983,3.8299999999999983
